D,A,B,x,y,fitness
186.87602607830098,0.0008433151852096309,9.766001217742357,838.2504151544365,869.9707415538654,0.9524853049834093
186.87602607830098,0.0008433151852096309,4.705628554196746,817.7949897672751,848.5847844118335,0.9475885821999763
200.0,0.0008337338838432034,5.164053442941711,809.2838568769422,874.6452516209645,0.9492524982982676
186.87602607830098,0.0008207700028877371,7.97729798020819,809.2838568769422,837.9773071020251,0.9520974457530383
186.87602607830098,0.0008433151852096309,4.705628554196746,817.7949897672751,848.5847844118335,0.9475885821999763
186.87602607830098,0.0008433151852096309,7.97729798020819,836.2234637562456,874.6452516209645,0.9504451654316582
186.87602607830098,0.0008433151852096309,4.705628554196746,817.7949897672751,848.5847844118335,0.9475885821999763
186.87602607830098,0.0008433151852096309,4.705628554196746,817.7949897672751,848.5847844118335,0.9475885821999763
186.87602607830098,0.0008433151852096309,6.528253988360984,799.4358935334209,874.6452516209645,0.9526462665640133
200.0,0.0008433151852096309,4.705628554196746,817.7949897672751,848.5847844118335,0.9458684265132813
